"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"PersonenMetInkomen_1";"GemiddeldInkomen_2";"MediaanInkomen_3"
"68803";"A043963";"A028703";"3000   ";"2012657";"2020JJ00";"   104.6";"     9.8";"    10.3"
"69254";"A043963";"A028703";"4000   ";"1012600";"2020JJ00";"   760.5";"    10.4";"    11.0"
"69265";"A043963";"A028703";"4000   ";"2012655";"2020JJ00";"    91.6";"    10.1";"    10.8"
"69276";"A043963";"A028703";"4000   ";"2012657";"2020JJ00";"   140.4";"     9.7";"    10.0"
"70200";"A043963";"A028704";"3000   ";"1012600";"2020JJ00";"   326.1";"    15.2";"    15.6"
"70211";"A043963";"A028704";"3000   ";"2012655";"2020JJ00";"    51.0";"    15.2";"    15.5"
"70222";"A043963";"A028704";"3000   ";"2012657";"2020JJ00";"   106.7";"    15.4";"    15.7"
"70673";"A043963";"A028704";"4000   ";"1012600";"2020JJ00";"   654.8";"    15.0";"    15.3"
"70684";"A043963";"A028704";"4000   ";"2012655";"2020JJ00";"    94.0";"    15.1";"    15.3"
"70695";"A043963";"A028704";"4000   ";"2012657";"2020JJ00";"   147.9";"    15.5";"    15.8"
"71619";"A043963";"A028705";"3000   ";"1012600";"2020JJ00";"   391.9";"    19.2";"    19.2"
"71630";"A043963";"A028705";"3000   ";"2012655";"2020JJ00";"    55.1";"    19.2";"    19.2"
"71641";"A043963";"A028705";"3000   ";"2012657";"2020JJ00";"    76.2";"    19.1";"    19.0"
"72092";"A043963";"A028705";"4000   ";"1012600";"2020JJ00";"   678.4";"    19.2";"    19.1"
"72103";"A043963";"A028705";"4000   ";"2012655";"2020JJ00";"    87.4";"    19.2";"    19.1"
"72114";"A043963";"A028705";"4000   ";"2012657";"2020JJ00";"    91.5";"    19.0";"    18.9"
"73038";"A043963";"A028706";"3000   ";"1012600";"2020JJ00";"   438.0";"    24.4";"    24.4"
"73049";"A043963";"A028706";"3000   ";"2012655";"2020JJ00";"    66.3";"    24.4";"    24.5"
"73060";"A043963";"A028706";"3000   ";"2012657";"2020JJ00";"    84.8";"    24.3";"    24.2"
"73511";"A043963";"A028706";"4000   ";"1012600";"2020JJ00";"   626.7";"    24.3";"    24.3"
"73522";"A043963";"A028706";"4000   ";"2012655";"2020JJ00";"    88.7";"    24.3";"    24.3"
"73533";"A043963";"A028706";"4000   ";"2012657";"2020JJ00";"    76.1";"    24.3";"    24.2"
"74457";"A043963";"A028707";"3000   ";"1012600";"2020JJ00";"   519.8";"    30.3";"    30.3"
"74468";"A043963";"A028707";"3000   ";"2012655";"2020JJ00";"    76.5";"    30.3";"    30.2"
"74479";"A043963";"A028707";"3000   ";"2012657";"2020JJ00";"    79.6";"    30.2";"    30.2"
"74930";"A043963";"A028707";"4000   ";"1012600";"2020JJ00";"   565.5";"    30.1";"    30.1"
"74941";"A043963";"A028707";"4000   ";"2012655";"2020JJ00";"    75.0";"    30.1";"    30.0"
"74952";"A043963";"A028707";"4000   ";"2012657";"2020JJ00";"    64.2";"    30.1";"    30.0"
"75876";"A043963";"A028708";"3000   ";"1012600";"2020JJ00";"   618.2";"    36.9";"    36.9"
"75887";"A043963";"A028708";"3000   ";"2012655";"2020JJ00";"    78.4";"    36.8";"    36.8"
"75898";"A043963";"A028708";"3000   ";"2012657";"2020JJ00";"    79.6";"    36.9";"    36.9"
"76349";"A043963";"A028708";"4000   ";"1012600";"2020JJ00";"   487.1";"    36.7";"    36.6"
"76360";"A043963";"A028708";"4000   ";"2012655";"2020JJ00";"    61.9";"    36.7";"    36.6"
"76371";"A043963";"A028708";"4000   ";"2012657";"2020JJ00";"    55.4";"    36.7";"    36.7"
"77295";"A043963";"A028709";"3000   ";"1012600";"2020JJ00";"   713.3";"    44.8";"    44.7"
"77306";"A043963";"A028709";"3000   ";"2012655";"2020JJ00";"    80.1";"    44.7";"    44.6"
"77317";"A043963";"A028709";"3000   ";"2012657";"2020JJ00";"    83.0";"    44.7";"    44.6"
"77768";"A043963";"A028709";"4000   ";"1012600";"2020JJ00";"   400.7";"    44.6";"    44.4"
"77779";"A043963";"A028709";"4000   ";"2012655";"2020JJ00";"    54.8";"    44.6";"    44.4"
"77790";"A043963";"A028709";"4000   ";"2012657";"2020JJ00";"    48.8";"    44.6";"    44.4"
"78714";"A043963";"A028710";"3000   ";"1012600";"2020JJ00";"   798.6";"    57.1";"    56.7"
"78725";"A043963";"A028710";"3000   ";"2012655";"2020JJ00";"    82.0";"    57.0";"    56.6"
"78736";"A043963";"A028710";"3000   ";"2012657";"2020JJ00";"    74.0";"    56.7";"    56.1"
"79187";"A043963";"A028710";"4000   ";"1012600";"2020JJ00";"   336.1";"    56.6";"    56.0"
"79198";"A043963";"A028710";"4000   ";"2012655";"2020JJ00";"    49.1";"    56.8";"    56.3"
"79209";"A043963";"A028710";"4000   ";"2012657";"2020JJ00";"    40.8";"    56.6";"    56.0"
"80133";"A043963";"A028711";"3000   ";"1012600";"2020JJ00";"   906.6";"   103.7";"    85.2"
"80144";"A043963";"A028711";"3000   ";"2012655";"2020JJ00";"   105.0";"   118.4";"    89.4"
"80155";"A043963";"A028711";"3000   ";"2012657";"2020JJ00";"    63.8";"   105.4";"    84.4"
"80606";"A043963";"A028711";"4000   ";"1012600";"2020JJ00";"   233.9";"    95.9";"    82.0"
"80617";"A043963";"A028711";"4000   ";"2012655";"2020JJ00";"    44.0";"   104.3";"    84.7"
"80628";"A043963";"A028711";"4000   ";"2012657";"2020JJ00";"    27.3";"    96.4";"    81.7"
